title,authors,averageRating,ratingsCount,publishedDate,description,price,currency
Palavra de mulher,Maria João Lopo de Carvalho,N/A,N/A,2005,N/A,N/A,N/A
O amor que sinto agora,Leila Ferreira,N/A,N/A,2018-04-11,"Quatro anos depois de perder sua mãe, Leila Ferreira decidiu abrir a carta que ela deixou para ser lida depois de sua morte. Foi da necessidade de responder a esta carta que nasceu este livro. O amor que sinto agora é o desabafo extremamente corajoso de uma filha que quebra o silêncio de uma vida. A mistura de realidade e ficção é protagonizada por Ana,uma mulher que enfrentou um casamento fracassado, violência sexual e depressão, mas aprendeu a construir saídas. A conversa, em forma de cartas, relata viagens feitas ao Egito, México e França, mas o grande deslocamento feito por Ana é existencial. É dele, acima de tudo, que ela fala, e é impossível não se emocionar ao acompanhar a reconstrução, dolorosa e bela, do amor de Ana por sua mãe e pela vida.",34.9,BRL
Meditação é mais do que você pensa,Jon Kabat-Zinn,N/A,N/A,2019-05-16,"Esqueça tudo o que ouviu até hoje sobre meditação e transforme sua vida a partir da simples realidade de uma prática diária e acessível para qualquer pessoa. Jon Kabat-Zinn é considerado ""um dos melhores professores de mindfulness que você jamais encontrará"" (Jack Kornfield). Ele tem ensinado os benefícios tangíveis da meditação por décadas. Hoje, milhões de pessoas em todo o mundo adotaram uma prática formal de meditação da atenção plena como parte de suas vidas cotidianas. Mas o que é meditação, afinal? E por que valeria a pena tentar? Ou nutrir ainda mais se você já tem prática? Este livro responderá essas e muitas outras perguntas. Será possível entender conceitos como: - Foco - Atenção plena - Carma - Dharma - Ética - Consciência - Vazio existencial",27.9,BRL
Danças tradicionais das Américas,Maria Amália Corrêa Giffoni,N/A,N/A,1960,N/A,N/A,N/A
A caçada ao lobo de Wall Street,Jordan Belfort,N/A,N/A,2014-02-18,"Jordan Belfort fez uma fortuna no mercado de ações americano nos anos 1990 e viveu uma vida de luxo, drogas, sexo e pura loucura. O problema foi que, para enriquecer dessa maneira, ele não seguiu apenas o bom caminho, e o FBI não deixou barato... Acusado de fraude de valores mobiliários, manipulação de ações, lavagem de dinheiro e outros inúmeros crimes financeiros que nem ele saberia citar, Jordan se viu obrigado a cooperar com a Justiça americana, dedurando amigos e antigos colegas para tentar se livrar de uma pena que poderia chegar a 30 anos de prisão – e arruinar de vez sua vida. Em A caçada ao Lobo de Wall Street, Jordan conta com sua fina ironia e acidez todos os detalhes de seu início de carreira, bem como tudo que aconteceu com ele depois que seu império desmoronou: perdeu a esposa, o dinheiro e quase perderia os filhos. Uma história contada sem pudores, por um homem cativante que precisou se reinventar a qualquer custo.",N/A,N/A
Boletim internacional de bibliografia Luso-Brasileira,,N/A,N/A,1965,N/A,N/A,N/A
Revista da Academia de Letras da Bahia,,N/A,N/A,1994,N/A,N/A,N/A
Tempo e o modo,,N/A,N/A,1964,N/A,N/A,N/A
Obra poética,Abgar Renault,N/A,N/A,1990,N/A,N/A,N/A
Nunca é tarde para mudar,Mônica de Castro,N/A,N/A,2018-05-12,"Em romance inédito de Mônica de Castro, descubra que sempre é possível recomeçar Hebron, cidade da Palestina, 1929. Um grupo de muçulmanos fanáticos promove um ataque aos judeus. O massacre é sangrento, cruel e inexplicável. Décadas depois, mundo contemporâneo. Bruno, jovem de família católica, desenvolve estranha obsessão pelo islamismo, ao mesmo tempo em que odeia os judeus. Apesar disso, apaixona-se por Tamara, moça judia, amiga do namorado de sua irmã. Tamara, contudo, o rejeita veementemente, fazendo recrudescer, na alma de Bruno, um desejo de vingança nascido muitas vidas atrás. Da mistura de sentimentos confusos e incompreensíveis, surge o plano macabro que fará reviver o ódio adormecido, porém, nunca esquecido. Cada vez mais envolvido pelo fanatismo islâmico, Bruno planeja e executa a obra máxima de sua vida, colocando em risco não apenas sua atual encarnação, como também sua própria permanência na Terra. Mas a vida obedece a critérios específicos de motivação espiritual, e não há atitude ou pensamento desprovido de causas, cujo conhecimento gravita nos recônditos mais distantes e sombrios da consciência. Mesmo as obras mais cruéis e inexplicáveis possuem um sentido oculto, ainda que totalmente desvirtuado dos caminhos do bem e da moral. Todavia, como o mal não é eterno, a oportunidade de mudança nunca deixará de existir. Não importa o quão obscuro foi o seu passado. Ser uma pessoa melhor depende da vontade e de suas próprias escolhas.",N/A,N/A
Reino em pedaços,Erin Watt,N/A,N/A,2019-06-18,"Desde que Hartley Wright conheceu Easton Royal, sua vida não foi mais a mesma. Há inimigos em cada esquina e perigos através de cada porta. Quando um acidente a faz perder boa parte de suas memórias, ela não pode confiar em ninguém, nem mesmo no garoto de olhos azuis que promete a ela que tudo ficará bem. Porque enquanto a memória de Hartley está cheia de lacunas, seus instintos lhe dizem que Easton é perigoso. Ela não sabe se ele é a sua ruína ou sua chance de salvação. O caos que o acompanha onde quer que ele vá é demais para lidar, os sentimentos intensos que ele provoca são confusos demais para serem compreendidos. Easton quer que ela se lembre. Hartley acha melhor esquecer. Ela pode estar certa.",19.9,BRL
Palácio de Mentiras,Erin Watt,N/A,N/A,2018-02-09,"O aguardado desfecho da série The Royals De inimigos mortais a aliados improváveis, dois adolescentes tentam proteger tudo o que mais importa para eles. Ella Harper foi capaz de superar cada um dos obstáculos que surgiram em seu caminho. Forte e resiliente, ela está disposta a fazer o que for preciso para defender as pessoas que ama. Mas lidar com o retorno do pai desaparecido e com o namorado cuja vida está por um fio pode ser demais para a jovem. Reed Royal tem um temperamento afiado e punhos ágeis. Mas sua habilidade para resolver problemas com violência já não é mais o bastante. Se ele quiser salvar a si mesmo e a sua garota, ele terá que superar o passado e sua reputação manchada. Ella precisa ser forte para lidar com os Royal... isso se Reed não destruir sua própria família antes.",N/A,N/A
Quem me roubou de mim?,Pe. Fábio de Melo,N/A,N/A,2018-11-15,"*Edição comemorativa de dez anos da publicação original* Um romance inspirador Em Quem me roubou de mim? Padre Fábio de Melo aborda uma violência sutil que aflige muitas pessoas – o sequestro da subjetividade. Essa expressão refere-se à privação que sofremos de nós mesmos quando estabelecemos com alguém, nas palavras do próprio autor, ""um vínculo que mina nossa capacidade de ser quem somos, de pensar por nós mesmos, de exercer nossa autonomia, de tomar decisões e exercer nossa liberdade de escolha"". Uma vez sequestrados, perdemos a capacidade de sonhar, ficamos impossibilitados de viver as realizações para as quais fomos feitos e não temos com quem reclamar. Precisamos, portanto, estar sempre atentos para que isso não nos aconteça pois, como escreve Padre Fábio: ""Nenhuma relação humana está privada de se transformar em roubo, perda de identidade, ainda que as pessoas nos pareçam bem-intencionadas. Um só descuido e as relações podem evoluir para essa violência silenciosa. Basta que as pessoas se percam de seus referenciais, [...] que confundam o amor com posse, que abram mão de suas identidades, e que se ausentem de si mesma"".",N/A,N/A
Horas de leitura,Brito Broca,N/A,N/A,1957,N/A,N/A,N/A
O strip tease e outros contos políticos,Miguel Barbosa,N/A,N/A,1998,N/A,N/A,N/A
Desculpa se te chamo de amor,Federico Moccia,N/A,N/A,2013-05-23,"Sucesso em 13 países, com mais de três milhões de livros vendidos na Europa, o autor italiano Federico Moccia consagrou-se como um dos maiores fenômenos editoriais dos últimos tempos. Desculpa se te chamo de amor conta a história de Niki e Alex: ele, um publicitário de 37 anos em crise existencial, cuja vida literalmente colide com a da adolescente Niki, uma jovem de 17, que começa a descobrir a vida e o poder dos sentimentos. Um amor que vai além das convenções e preconceitos sociais – e dos 20 anos de diferença. A partir de um acidente de trânsito, Alex entra definitivamente na vida de Niki e os dois passam a viver uma paixão proibida e tumultuada. Um romance que emociona e provoca, cujos personagens se expõem ao turbilhão de sentimentos contraditórios, da bondade à traição, da tristeza ao amor.",N/A,N/A
Exame,,N/A,N/A,1995,N/A,N/A,N/A
Herdeiro caído,Erin Watt,4,1,2018-08-14,"Easton Royal está de volta Easton Royal tem tudo: beleza, dinheiro, inteligência. Seu principal objetivo é se divertir o máximo possível, sem nunca pensar nas consequências - porque, afinal de contas, ele não precisa. Até que surge em sua vida Hartley Wright, balançando suas estruturas. Hartley foi a única garota que o disse ""não"" e Easton não consegue entende-la, o que a torna ainda mais irresistível. Hartley não o quer. Ela diz que ele precisa crescer. E ela pode estar certa. Rivais. Regras. Arrependimentos. Pela primeira vez na vida de Easton, se esconder sob a influência da coroa Royal não é o suficiente. Ele está prestes a descobrir que quanto mais alto você sobe, mais dura é a queda.",19.9,BRL
Masoquismo e comunismo,Karl Weissmann,N/A,N/A,1964,N/A,N/A,N/A
Amor para corajosos,Luiz Felipe Pondé,5,1,2017-09-15,"O poeta Vinicius de Moraes ensinava a amar ""porque não há nada melhor para a saúde que um amor correspondido"". Se não há nada mais importante do que amar, pensar o amor em suas diversas formas e vínculos é fundamental. Em Amor para corajosos, o filósofo Luiz Felipe Pondé conduz o leitor por um passeio sobre o tema. Não se trata de um manual para amar melhor ou um estudo acadêmico. Na sua tradicional prosa ao mesmo tempo provocativa e elucidativa, Pondé escreve uma série de ensaios que podem ser lidos aleatoriamente ou na ordem sugerida. Ele parte de uma diferença filosófica entre o que seria um ""amor kantiano"" – que busca estabilidade e respeito – e um ""amor nietzschiano"" – aquele da paixão avassaladora. O foco principal é o amor romântico chamado pelos medievais de ""doença da alma"". Pondé usa a filosofia, as ciências sociais e a cultura para analisar questões eternas e outras mais contemporâneas. O amor pode conviver com rotinas? O amor tem cura? É ético abrir mão do amor em nome de obrigações familiares? Como saber se você é um canalha ou uma vagabunda? É possível confiar numa mulher? Como curar a atávica insegurança masculina? E quando o amor morre? Como o próprio título sugere, Amor para corajosos – Reflexões proibidas para menores vai instigar o leitor ao exercício do amor. Afinal, segundo o próprio Pondé, o amor é uma experiência prática, jamais teórica. ""Se você nunca entendeu a razão de a literatura estar cheia de exemplos de pessoas que 'morrem de amor', nenhuma teoria do amor vai salvá-lo do vazio que é nunca ter sofrido de amor"".",N/A,N/A
Isto é senhor,,N/A,N/A,1991,N/A,N/A,N/A
O cinema brasileiro nos anos 80,Guido Bilharinho,N/A,N/A,2002,N/A,N/A,N/A
Civilização,Niall Ferguson,N/A,N/A,2013-05-23,"Segundo o historiador Niall Ferguson, a civilização europeia sobrepujou os impérios do Oriente devido a seis 'aplicativos' que o Ocidente desenvolveu e que ninguém mais tinha - a competição, a ciência, o direito de propriedade, a medicina, o consumo e a ética do trabalho, e cada um desses 'aplicativos' é abordado nesta obra. Por fim, o autor se pergunta se o Ocidente continua tendo condições de dominar o mundo.",N/A,N/A
Anuário de mídia,,N/A,N/A,2004,N/A,N/A,N/A
Uma volta em torno do quadrado,Carlos Perrella Gonçalves,N/A,N/A,1973,N/A,N/A,N/A
Dom de Amar,"Sharon Kendrick, Kathryn Ross",N/A,N/A,2012-01-02,"SOBERANO DAS AREIAS – SHARON KENDRICK Zahid descobre que Francesca, a adolescente tímida do passado, se tornara uma mulher deslumbrante. Viver uma paixão sem limites com ela seria um prazer doce e amargo... Pois antes de tudo ele deve honrar as obrigações com seu reino! AMANTE SECRETA – KATHRYN ROSS Durante uma viagem de negócios, Charlotte e Marco são dominados pela paixão. Agora, ele irá promovê-la do cargo de assistente pessoal para amante em tempo integral!",16.9,BRL
A importância dos partidos políticos no funcionamento do Estado,Antonio Carlos Klein,N/A,N/A,2002,N/A,N/A,N/A
Os Hudson de Beverly Hills 2 de 3,"Barbara Dunlop, Emilie Rose",N/A,N/A,2014-08-01,"Os Hudson de Beverly Hills: Uma dinastia de Hollywood se reúne para produzir o longa-metragem sobre a história de sua família...Com filmagens em várias partes do mundo! CENA DE DESEJO – BARBARA DUNLOP Se havia algo que Charlotte Hudson aprendera durante seus 25 anos de vida era como ser adequada. Então, como ela, a filha de um embaixador, tinha conseguido parar em uma filmagem maluca no meio de um castelo na Provença com o playboy francês Alec Montcalm? Enquanto os parentes dela da Hudson Pictures estavam ocupados gravando cenas no Chateau Montcalm, o verdadeiro drama acontecia atrás de pesadas portas centenárias e debaixo de lençóis de seda. Charlotte sabia que aquele caso insano e secreto não poderia durar muito. Até descobrir que estava grávida... CENA DE OUSADIA – EMILIE ROSE Sob a pressão matadora de Hollywood, o produtor de cinema Max Hudson era um mestre na arte de fazer acontecer. Para seu desespero, a aproximação de um prazo final o estava deixando com a corda no pescoço, por isso ele não permitiria que ninguém, nem nada, cruzasse seu caminho... Especialmente sua assistente de longa data, Dana Fallon. Afinal, o sistema nervoso e a libido de Max haviam sido abalados pelas curvas exuberantes dela. O inesperado pedido de demissão de Dana provoca um caos na vida de Max, pois nem mesmo um cachê milionário a faria mudar de ideia. Por sorte, Max dispunha de outros recursos para convencê-la a ficar...",16.9,BRL
A arte francesa de mandar tudo à merda,Fabrice Midal,N/A,N/A,2018-02-26,"Não se estresse, largue o celular, faça ioga, cultive o bem, sorria. Nos torturamos o tempo todo para fazer melhor, agir certo, ser politicamente corretos. São tantas obrigações que sempre achamos que estamos ""devendo"". O autor do best-seller A arte francesa de mandar tudo à merda, o filósofo Fabrice Midal, estourou na Europa pregando justamente que está na hora de nos preocuparmos menos com o que se espera de nós – e simplesmente ser o que somos. Em 15 capítulos, Midal parte de sua experiência de vida e de uma análise social para derrubar crenças sobre a vida e a meditação. Ele nos estimula a parar de sentir culpa e nos encoraja a se livrar das obrigações que nós nos impomos. Dê um tempo para si mesmo; esta é, segundo o filósofo francês, a chave para encontrar a verdadeira paz de espírito, ou mindfulness, para usar o termo da moda. ""A chave para a meditação? Comece lendo este livro e clareando a sua mente."" JORNAL LE FIGARO ""Fabrice Midal faz um apelo contra a tirania do perfeccionismo e a severidade da sociedade moderna. O mote deste livro – dê um tempo para si mesmo – talvez seja a mais radical resolução de ano novo.""REVISTA ELLE ""A arte francesa de mandar tudo à merda é convincente, mas também divertido. É desafiador e, ao mesmo tempo, reconfortante. Este livro pode transformar o jeito que você encara a sua vida como um todo, e a maneira como você vive cada momento."" TAL BEN-SHAHAR, PROFESSOR DE PSICOLOGIA DA UNIVERSIDADE DE HARVARD",37.9,BRL
A marcha do amanhecer,Juscelino Kubitschek,N/A,N/A,1962,N/A,N/A,N/A
Litteraria Pragensia,,N/A,N/A,1991,Studies in l1terature and culture.,N/A,N/A
Desvende Os Segredos Dos Autores Best-sellers,Ronaldo Piloto,N/A,N/A,2023-10-16,"🚀 Desvende os Segredos dos Autores Best-Sellers 🚀 Você sonha em se tornar um autor de renome e criar aquele best-seller que vai conquistar corações? Ronaldo Piloto traz para você um curso revolucionário, repleto de dicas atualizadas e baseadas nas ferramentas mais avançadas do universo literário! 🔥 Descubra o Caminho para o Topo da Amazon! Este curso é sua passagem VIP para o mundo dos best-sellers na Amazon. Ronaldo Piloto desvenda os segredos por trás das obras de sucesso, revelando estratégias poderosas para colocar seu livro no topo das listas de mais vendidos. 📚 Curso Rápido para Ser Escritor de Sucesso! Não tem tempo a perder? Este curso é como um turbo para sua jornada literária. Aprenda de forma eficiente, focando nos elementos gatilhos que conquistam os desejos mais profundos das pessoas. 🌟 Conquiste o Desejo de Ser um Escritor de Renome! Nossa abordagem vai direto ao coração do seu desejo de ser reconhecido como escritor. Fuja do comum e mergulhe em técnicas que elevam seu ego literário, guiando-o para a criação de, pelo menos, um best-seller impactante! ⚡ Evite o Desconhecido, Abra Caminho para o Sucesso! Não se preocupe com detalhes que podem te deixar perdido. Focamos nos anseios universais, construindo um caminho seguro para sua jornada literária. Ronaldo Piloto traz um conteúdo direto ao ponto, sem exageros desnecessários. ✨ Seja o Próximo Autor de Sucesso! Prepare-se para uma transformação literária e conquiste o mundo com suas palavras! Desvende os segredos, trabalhe os gatilhos certos e torne-se o autor que todos estão ansiosos para ler. Seu futuro literário começa aqui! 🚀 Desperte o Escritor de Best-Sellers que Existe em Você! 🚀 #CaminhoParaOTopo #EscritorDeRenome #SucessoLiterário #JornadaLiterária",21.59,BRL
Recomeços,Danielle Steel,N/A,N/A,2015-09-25,"A HISTÓRIA INSPIRADORA DE DUAS VIDAS QUE, ANTES JUNTAS, ACABAM SEGUINDO CAMINHOS DISTINTOS Oliver Watson é um publicitário bem-sucedido que acredita que tem o casamento perfeito: uma linda casa, três filhos e sua amada Sarah. No entanto, Sarah se sente entediada com a vida caseira, sem horizontes, e decide partir para um programa de mestrado da Universidade de Harvard. Oliver vê sua vida feliz desmoronar e precisa aprender a cuidar sozinho da família, percebendo a possibilidade de um divórcio. É um recomeço para Oliver e para Sarah. Todos vão precisar se adaptar neste romance sobre a luta para recuperar a felicidade.",32.9,BRL
Mais que amigos?,Christina Lauren,N/A,N/A,2024-08-10,"Uma jornada da amizade ao desejo, em que resistir à atração produz uma narrativa divertida e hipnotizante. Millie Morris sempre viveu cercada de amigos homens. Como professora de Criminologia e reconhecida no meio como especialista em assassinas em série, não tem do que reclamar de sua vida profissional, mas assim como seus quatro colegas de trabalho, o campo dos relacionamentos está um deserto, pois está sempre sozinha. Então, quan¬do um evento do trabalho exige que cada um leve um acompanhante, Millie e o grupo fazem um pacto e decidem se cadastrar em um site de namoro para encontrar companhia para aquela noite. Há apenas um problema: depois de fazerem esse pacto, Millie e um colega de trabalho, Reid Campbell, passam a noite mais quente de suas vidas juntos, porém decidem esquecer o assunto e continuar apenas como amigos. Mas a ideia de encontrar um parceiro nesses sites não funciona para todos. Enquanto os rapazes são inundados com ótimas mensagens e possíveis encontros, o perfil de Millie recebe uma leva de fotos impró¬prias e mensagens absurdas de caras sem noção. É aí que entra ""Catherine"" – o perfil fictício de Millie, com o qual ela pode interagir sem riscos e também enviar mensagens para o perfil de Reid sem que ele saiba que é ela. E os dois estabelecem uma conexão virtual, fazendo com que Millie perceba que há algo realmente podero¬so entre os dois – Reid talvez seja o cara que ela sempre desejou... Para quem sempre foi tão racional, investir num amigo não é uma escolha fácil... os riscos são imensos... e os risos? Ainda maiores. ""Os romances de Christina Lauren não têm erro... Desta vez, oferecendo uma abordagem deliciosa e comovente do namoro moderno."" – ENTERTAINMENT WEEKLY",54.9,BRL
Flores partidas,Karin Slaughter,N/A,N/A,2024-02-15,"Mais de vinte anos atrás, a família Delgado sofreu um grande trauma: a caçula, Julia, desapareceu sem deixar rastros. Depois desse golpe, a família se deteriorou de tal forma que as irmãs mais velhas, Claire e Lydia, pararam de se falar, e suas vidas seguiram caminhos muito diferentes. Claire tem uma vida glamorosa, casada com um milionário de Atlanta. Lydia é mãe solteira, namora um ex-presidiário e luta para deixar para trás um passado de drogas e sem direção. A ferida destruidora, no entanto, continua aberta e volta a sangrar quando o marido de Claire é assassinado. O desaparecimento de uma adolescente e a morte de um homem de meia‐idade, com quase um quarto de século separando esses fatos... Qual seria a conexão? As irmãs se unem em uma trégua relutante para, vasculhando o passado, buscar respostas. Mas essa jornada vai trazer à tona segredos que destruíram a família décadas antes, junto com uma chance inesperada de redenção e... vingança. Poderoso, tocante e muito tenso, com personagens inesquecíveis e reviravoltas surpreendentes, Flores partidas é um thriller sem igual, escrito por uma das melhores e mais bem-sucedidas autoras de suspense da atualidade.",N/A,N/A
VOCÊ NASCEU RICO,Bob Proctor,N/A,N/A,2024-09-26,"Best-Seller Internacional. Um dos maiores fenômenos na área de desenvolvimento pessoal e profissional. Você Nasceu Rico reúne histórias reais e os testemunhos das pessoas que transformaram profundamente suas vidas. Seja na saúde, nas finanças, nos relacionamentos, na erradicação das doenças, superação de obstáculos e na conquista de coisas consideradas impossíveis. O autor tem brilhantemente desencadeado o verdadeiro potencial da mente das pessoas a mais de 50 anos. Fundador da LifeSuccess Productions e sucessor direto de Earl Nightingalle, o mestre indiscutível em mudar a vida mudando a forma como você pensa. Quando se trata de uma vida sistematizada, ninguém pode superá-lo. Ele é simplesmente o melhor. Bob Proctor é um dos maiores especialistas do mundo em ensinar as pessoas a empurrar para o passado sua zona de conforto, em direção de um sucesso inimaginável. O autor soube exatamente qual seria sua missão: revelar a sabedoria dos homens e mulheres que já compreendiam o Segredo. Entre eles estavam grandes cientistas, filósofos, atletas, músicos, escritores, estadistas, que se transformaram em exemplos, referências para toda a humanidade. Este poder, que no livro é comentado por cientistas, escritores, artistas, médicos, consultores financeiros e religiosos, pode ser resumido na famosa ""lei da atração"": o mundo é sempre uma projeção da imagem que temos dele; se pensamos de forma negativa e destrutiva em relação a nós mesmos, dificilmente é possível vencer. Você Nasceu Rico, trata desta realidade que todos sabem, mas frequentemente esquecem: só faltava alguém juntar todas as peças. Ao trazer à luz histórias fascinantes de verdadeiros mestres, antigos e contemporâneos que usaram A Lei da Atração para obter sucesso, saúde e riqueza, só nos resta compartilhar com eles as suas experiências, além de desfrutar a felicidade que orienta você através de todos os grandes princípios que deve compreender a fim de desbloquear a vasta riqueza do potencial imerso dentro de você.",55.44,BRL
Quatro estações,Stephen King,N/A,N/A,2001-03-06,"Histórias de Stephen King que se transformaram em sucessos de Hollywood. Publicado originalmente em 1983, ""Quatro estações"" revela uma outra faceta do mestre do suspense. São quatro histórias bem diferentes do universo habitual de Stephen King, em que o autor constrói narrativas baseadas no dia-a-dia de personagens comuns e mostra sua habilidade em criar demônios sob uma nova perspectiva: eles aparecem de modo subliminar, povoando a natureza humana. Em ""Primavera eterna - Rita Hayworth e a redenção de Shawshank"", o escritor toma a injusta condenação de um homem à prisão perpétua como ponto de partida para falar sobre o desejo de liberdade. A adaptação para as telas do cinema - com atuações de Tim Robbins e Morgan Freeman - fez grande sucesso sob o título ""Um sonho de liberdade"". Já na trama ""Outono da inocência - O corpo"", o autor dá novos contornos ao tema do rito de passagem da juventude para a maturidade, utilizando-se das reações de um grupo de adolescentes confrontados com a morte ao se verem diante de um cadáver. A história se transformou no filme ""Conta comigo"", revelando atores como River Phoenix, Corey Feldman e Kiefer Sutherland. Em ""Quatro estações"", King, o mestre do terror americano, se distancia do sobrenatural e mergulha no cotidiano de pessoas normais, comprovando mais uma vez seu talento como um dos melhores ficcionistas da literatura contemporânea.The National Book Foundation Medal for Distinguished Contribution to American Letters",19.9,BRL
Ben-Hur,Lew Wallace,N/A,N/A,2016-07-22,"Ben-Hur,considerado um dos maiores livros de todos os tempos, se tornou um best- -seller desde o seu lançamento, em 1880. A história se passa na época de Jesus Cristo, e começa com uma traição, quando a família de Judá Ben-Hur é injustamente acusada por um crime, sendo o acusador o melhor amigo dele. Condenado à escravidão, Ben-Hur começa a sua luta para resgatar o nome da família procurando a redenção através das corridas de quadrigas - bigas puxadas por quatro cavalos, usadas em competições esportivas. A jornada de Ben-Hur é uma metáfora para a história do próprio Cristo, cujas situações semelhantes - traição, sofrimento, redenção e salvação - , fazem deste livro um poderoso e inspirador romance histórico.",45.4,BRL
